user_id,first_match_date,last_match_date,most_common_match_type,total_matches,avg_bots_per_match,avg_position_per_match,total_play_days,days_between_first_last_match
277696,2024-04-23,2024-04-24,B,10,1.4285714285714286,2.857142857142857,2,1
277697,2024-03-11,2024-03-11,A,1,1.0,3.0,1,0
277698,2024-03-11,2024-03-11,C,5,2.75,2.25,1,0
277700,2024-04-24,2024-05-01,C,8,1.8,2.6,2,7
277701,2024-03-26,2024-05-01,B,159,1.1891891891891893,2.5135135135135136,20,36
277703,2024-03-18,2024-03-25,A,2,3.0,1.0,2,7
277705,2024-04-21,2024-04-22,C,6,1.8,2.0,2,1
277707,2024-03-22,2024-03-22,C,5,2.5,2.0,1,0
277708,2024-03-09,2024-03-09,B,1,2.0,3.0,1,0
277709,2024-03-17,2024-03-31,A,2,0.5,2.5,2,14
277710,2024-03-13,2024-03-13,A,6,2.5,2.5,1,0
277711,2024-04-08,2024-04-08,B,2,1.5,3.5,1,0
277712,2024-03-28,2024-04-30,B,150,1.2083333333333333,2.5729166666666665,16,33
277715,2024-04-17,2024-04-19,C,7,2.1666666666666665,2.0,3,2
277716,2024-03-12,2024-03-12,C,1,0.0,1.0,1,0
277718,2024-03-19,2024-03-19,A,1,3.0,1.0,1,0
277719,2024-04-02,2024-04-02,B,2,2.0,1.5,1,0
277721,2024-03-04,2024-03-05,B,31,1.2352941176470589,2.6470588235294117,2,1
277722,2024-03-16,2024-03-31,C,75,1.5272727272727273,2.381818181818182,12,15
277723,2024-03-06,2024-03-10,C,4,0.75,3.0,3,4
277724,2024-04-18,2024-04-18,A,1,3.0,1.0,1,0
277725,2024-04-13,2024-04-14,C,5,2.0,2.0,2,1
277726,2024-03-22,2024-03-24,C,5,2.5,2.0,2,2
277727,2024-04-24,2024-04-29,A,12,1.6,2.7,4,5
277728,2024-04-02,2024-04-03,C,11,0.5555555555555556,2.4444444444444446,2,1
277729,2024-04-24,2024-04-24,B,1,3.0,1.0,1,0
277730,2024-03-21,2024-03-21,B,2,3.0,1.0,1,0
277731,2024-04-09,2024-04-16,B,10,1.625,2.625,3,7
277732,2024-04-07,2024-05-01,C,36,1.5714285714285714,2.392857142857143,8,24
277733,2024-04-19,2024-04-20,B,11,1.625,2.75,2,1
277734,2024-04-11,2024-04-14,A,6,2.1666666666666665,2.1666666666666665,2,3
277735,2024-04-01,2024-04-30,A,11,0.8,2.5,2,29
277736,2024-03-03,2024-03-22,A,261,1.0326797385620916,2.4705882352941178,17,19
277738,2024-03-06,2024-03-06,A,1,3.0,1.0,1,0
277739,2024-04-20,2024-04-20,B,5,2.6666666666666665,2.3333333333333335,1,0
277740,2024-04-10,2024-04-21,A,3,3.0,1.5,2,11
277743,2024-03-06,2024-04-29,A,3,1.3333333333333333,2.0,2,54
277744,2024-04-05,2024-04-05,B,3,3.0,0.5,1,0
277745,2024-03-12,2024-03-12,B,3,3.0,2.0,1,0
277746,2024-03-07,2024-03-07,A,1,3.0,1.0,1,0
277747,2024-03-19,2024-03-19,C,1,3.0,1.0,1,0
277748,2024-04-24,2024-04-29,C,17,2.230769230769231,2.6923076923076925,4,5
277749,2024-03-28,2024-05-01,B,60,1.1142857142857143,2.342857142857143,6,34
277750,2024-03-04,2024-03-18,A,13,1.2222222222222223,3.111111111111111,5,14
277754,2024-04-18,2024-04-24,A,13,1.1,2.1,4,6
277756,2024-04-02,2024-04-08,B,23,1.4705882352941178,3.0,5,6
277757,2024-04-10,2024-04-12,B,7,1.6,3.0,2,2
277758,2024-04-15,2024-04-15,A,3,3.0,1.5,1,0
277763,2024-03-23,2024-03-23,A,3,2.0,2.5,1,0
277765,2024-04-09,2024-04-09,A,1,3.0,1.0,1,0
277766,2024-03-24,2024-03-24,B,2,3.0,1.0,1,0
277770,2024-03-16,2024-03-26,B,15,1.5,2.4166666666666665,3,10
277771,2024-04-24,2024-04-26,A,7,2.3333333333333335,2.1666666666666665,2,2
277772,2024-04-08,2024-04-09,B,10,1.875,2.875,2,1
277773,2024-04-01,2024-04-01,A,6,2.2,2.4,1,0
277774,2024-04-19,2024-04-19,B,4,3.0,1.5,1,0
277775,2024-04-23,2024-04-29,A,21,0.9375,2.875,6,6
277776,2024-03-11,2024-03-11,C,1,3.0,1.0,1,0
277777,2024-03-24,2024-03-24,C,2,3.0,1.5,1,0
277778,2024-04-20,2024-04-20,A,7,1.6666666666666667,2.3333333333333335,1,0
277780,2024-03-09,2024-03-09,A,5,2.5,2.25,1,0
277781,2024-03-15,2024-03-16,C,12,1.5,2.1,2,1
277782,2024-04-21,2024-04-21,A,5,2.5,2.25,1,0
277783,2024-03-27,2024-03-27,C,1,3.0,1.0,1,0
277784,2024-03-28,2024-03-28,C,2,3.0,1.0,1,0
277785,2024-03-21,2024-03-21,A,1,3.0,1.0,1,0
277786,2024-04-02,2024-04-04,B,13,1.4545454545454546,2.1818181818181817,3,2
277787,2024-03-17,2024-03-18,B,14,1.6,2.1,2,1
277788,2024-03-09,2024-03-29,A,6,2.0,1.8,3,20
277790,2024-03-20,2024-03-20,C,1,0.0,2.0,1,0
277791,2024-03-22,2024-04-01,C,6,2.0,1.6,4,10
277792,2024-03-18,2024-04-25,C,13,0.7272727272727273,3.0,6,38
277793,2024-03-10,2024-03-10,C,2,3.0,0.5,1,0
277797,2024-03-19,2024-03-19,A,1,2.0,1.0,1,0
277798,2024-04-06,2024-04-26,A,110,0.7377049180327869,2.442622950819672,14,20
277799,2024-04-10,2024-04-10,B,1,3.0,4.0,1,0
277800,2024-04-11,2024-04-11,C,4,0.5,3.0,1,0
277803,2024-04-11,2024-04-20,A,4,3.0,1.75,2,9
277804,2024-03-07,2024-03-07,C,4,3.0,2.0,1,0
277806,2024-03-29,2024-03-30,C,10,1.25,2.0,2,1
277807,2024-04-18,2024-04-27,A,63,0.625,2.375,9,9
277808,2024-04-17,2024-04-17,B,1,3.0,1.0,1,0
277809,2024-04-23,2024-04-29,A,22,1.6875,2.875,5,6
277811,2024-03-18,2024-03-19,B,8,0.42857142857142855,2.0,2,1
277813,2024-04-24,2024-04-24,A,1,3.0,1.0,1,0
277814,2024-03-10,2024-03-10,A,1,3.0,1.0,1,0
277816,2024-04-22,2024-04-27,C,11,1.4285714285714286,3.142857142857143,2,5
277817,2024-03-31,2024-04-02,C,6,2.3333333333333335,2.5,3,2
277818,2024-03-21,2024-03-21,B,3,3.0,1.5,1,0
277819,2024-03-27,2024-03-27,B,4,3.0,0.5,1,0
277820,2024-04-18,2024-04-18,B,6,2.0,1.8333333333333333,1,0
277821,2024-04-17,2024-04-20,B,8,1.125,2.375,3,3
277822,2024-03-13,2024-03-13,C,1,3.0,1.0,1,0
277823,2024-03-22,2024-03-22,A,5,2.5,2.5,1,0
277824,2024-04-01,2024-04-05,C,4,3.0,2.0,2,4
277825,2024-03-07,2024-03-25,A,5,2.5,1.5,4,18
277826,2024-03-21,2024-03-21,A,8,1.4,2.2,1,0
277827,2024-03-04,2024-03-04,C,5,2.25,2.25,1,0
277828,2024-04-11,2024-04-11,A,6,1.3333333333333333,2.6666666666666665,1,0
277830,2024-04-11,2024-04-11,C,1,3.0,1.0,1,0
277831,2024-03-26,2024-03-27,A,5,2.25,2.5,2,1
277832,2024-04-06,2024-04-06,A,1,3.0,1.0,1,0
277833,2024-04-17,2024-04-17,B,1,3.0,1.0,1,0
277835,2024-03-07,2024-03-07,B,2,3.0,2.0,1,0
277836,2024-04-11,2024-04-17,A,6,2.1666666666666665,2.3333333333333335,3,6
277837,2024-03-11,2024-03-11,A,1,3.0,1.0,1,0
277838,2024-03-02,2024-03-02,C,1,3.0,3.0,1,0
277840,2024-03-05,2024-03-25,B,45,1.1944444444444444,3.111111111111111,10,20
277841,2024-04-19,2024-04-19,C,1,3.0,1.0,1,0
277843,2024-04-17,2024-04-17,A,2,3.0,2.5,1,0
277845,2024-04-01,2024-04-01,A,1,0.0,4.0,1,0
277847,2024-04-11,2024-04-12,B,11,2.3333333333333335,3.0,2,1
277848,2024-03-02,2024-04-11,A,6,0.3333333333333333,1.6666666666666667,3,40
277849,2024-04-04,2024-05-01,B,135,1.1203703703703705,2.462962962962963,23,27
277850,2024-03-14,2024-03-14,B,1,3.0,1.0,1,0
277851,2024-03-07,2024-03-07,B,1,3.0,1.0,1,0
277852,2024-03-25,2024-04-07,A,11,1.3333333333333333,3.0,5,13
277853,2024-03-24,2024-04-07,C,5,2.4,2.6,2,14
277855,2024-03-29,2024-03-29,B,2,3.0,1.5,1,0
277856,2024-03-13,2024-03-13,C,1,3.0,1.0,1,0
277857,2024-03-06,2024-03-07,B,4,3.0,1.75,2,1
277859,2024-04-13,2024-04-14,A,14,1.1,2.2,2,1
277860,2024-03-20,2024-03-24,A,18,1.0909090909090908,2.8181818181818183,3,4
277861,2024-04-03,2024-04-03,A,1,3.0,1.0,1,0
277862,2024-03-19,2024-03-19,C,1,3.0,1.0,1,0
277863,2024-03-28,2024-03-29,B,7,1.6666666666666667,2.6666666666666665,2,1
277864,2024-03-08,2024-03-14,B,32,1.7727272727272727,2.909090909090909,5,6
277865,2024-03-16,2024-03-18,A,8,2.2,2.2,2,2
277867,2024-04-10,2024-04-30,B,222,1.1549295774647887,2.492957746478873,21,20
277868,2024-04-01,2024-04-06,A,8,1.25,2.75,2,5
277869,2024-03-07,2024-04-13,B,5,0.8,2.4,2,37
277870,2024-03-02,2024-03-02,A,5,2.25,2.75,1,0
277871,2024-04-12,2024-04-12,C,3,3.0,2.0,1,0
277872,2024-03-19,2024-03-19,A,1,3.0,1.0,1,0
277873,2024-03-13,2024-04-29,A,36,0.896551724137931,2.5517241379310347,9,47
277874,2024-03-17,2024-04-14,B,8,1.8571428571428572,3.0,3,28
277875,2024-03-18,2024-03-28,C,13,1.1818181818181819,2.090909090909091,3,10
277876,2024-03-31,2024-04-12,A,21,0.9285714285714286,2.642857142857143,5,12
277877,2024-04-07,2024-04-07,C,1,3.0,1.0,1,0
277878,2024-03-25,2024-04-01,A,22,1.25,2.25,6,7
277879,2024-04-04,2024-04-30,A,23,1.0526315789473684,2.789473684210526,5,26
277880,2024-04-09,2024-04-09,C,1,3.0,1.0,1,0
277881,2024-03-13,2024-03-14,C,8,2.0,2.2,2,1
277882,2024-03-20,2024-03-20,B,1,3.0,1.0,1,0
277885,2024-04-23,2024-04-28,C,7,2.0,2.75,2,5
277887,2024-03-10,2024-03-10,B,7,2.0,2.75,1,0
277888,2024-04-07,2024-04-07,A,2,3.0,3.0,1,0
277889,2024-03-20,2024-03-20,A,1,1.0,4.0,1,0
277890,2024-03-23,2024-04-19,C,15,0.7692307692307693,2.4615384615384617,3,27
277891,2024-03-31,2024-03-31,C,4,3.0,1.3333333333333333,1,0
277894,2024-04-10,2024-04-10,C,5,2.0,2.0,1,0
277895,2024-03-05,2024-03-05,A,1,0.0,3.0,1,0
277896,2024-03-10,2024-03-10,C,6,2.2,2.2,1,0
277897,2024-03-29,2024-04-06,A,12,1.8,2.9,5,8
277898,2024-04-01,2024-04-07,B,4,3.0,2.0,3,6
277899,2024-04-04,2024-04-04,A,4,3.0,2.0,1,0
277900,2024-03-06,2024-03-06,A,1,3.0,1.0,1,0
277901,2024-03-02,2024-03-11,C,11,1.75,2.25,2,9
277902,2024-03-07,2024-03-07,C,4,3.0,1.5,1,0
277903,2024-04-03,2024-04-30,C,34,1.793103448275862,2.3448275862068964,11,27
277904,2024-03-01,2024-03-01,C,2,3.0,1.5,1,0
277905,2024-03-09,2024-03-09,C,1,0.0,4.0,1,0
277906,2024-03-03,2024-03-03,A,7,1.6666666666666667,2.8333333333333335,1,0
277907,2024-03-18,2024-03-18,A,6,1.75,2.5,1,0
277908,2024-03-13,2024-03-13,A,7,1.5,1.6666666666666667,1,0
277909,2024-03-31,2024-03-31,C,3,3.0,1.0,1,0
277910,2024-03-27,2024-03-27,B,1,3.0,1.0,1,0
277911,2024-03-02,2024-04-16,C,143,0.9901960784313726,2.480392156862745,18,45
277912,2024-03-01,2024-03-03,A,8,0.2857142857142857,2.857142857142857,3,2
277914,2024-04-10,2024-04-10,A,1,3.0,1.0,1,0
277916,2024-04-20,2024-04-20,B,2,3.0,1.0,1,0
277917,2024-04-18,2024-04-18,A,3,3.0,1.0,1,0
277918,2024-03-04,2024-03-04,B,1,3.0,1.0,1,0
277919,2024-03-27,2024-04-30,B,50,1.5454545454545454,3.727272727272727,14,34
277920,2024-03-02,2024-03-19,C,13,2.0,3.0,4,17
277921,2024-03-19,2024-03-21,A,4,3.0,1.3333333333333333,2,2
277922,2024-04-07,2024-04-11,A,9,1.6,2.6,3,4
277925,2024-03-28,2024-03-29,C,14,1.7272727272727273,2.909090909090909,2,1
277926,2024-03-25,2024-04-08,C,25,1.8571428571428572,2.5238095238095237,7,14
277927,2024-03-02,2024-03-11,A,11,0.4,2.8,3,9
277929,2024-04-13,2024-04-13,B,1,3.0,1.0,1,0
277931,2024-03-02,2024-03-02,A,1,3.0,1.0,1,0
277933,2024-04-19,2024-04-21,B,8,2.1666666666666665,2.3333333333333335,3,2
277935,2024-03-28,2024-03-28,C,1,3.0,1.0,1,0
277936,2024-04-20,2024-04-20,C,4,3.0,1.5,1,0
277937,2024-03-25,2024-03-25,A,5,1.5,1.0,1,0
277938,2024-04-18,2024-04-18,B,2,3.0,1.5,1,0
277939,2024-04-22,2024-04-27,B,7,1.8333333333333333,2.5,2,5
277940,2024-04-15,2024-04-15,A,1,3.0,1.0,1,0
277941,2024-04-03,2024-04-03,A,4,3.0,2.0,1,0
277942,2024-04-13,2024-04-13,B,2,3.0,1.0,1,0
277943,2024-03-29,2024-04-06,C,16,1.3333333333333333,2.4,4,8
277944,2024-03-07,2024-03-07,C,6,1.75,1.75,1,0
277947,2024-03-26,2024-03-30,B,5,2.4,0.8,2,4
277948,2024-03-06,2024-04-01,A,13,0.7777777777777778,2.3333333333333335,3,26
277949,2024-04-09,2024-04-09,A,1,3.0,1.0,1,0
277950,2024-03-15,2024-05-01,B,474,1.2436708860759493,2.518987341772152,41,47
277952,2024-03-18,2024-03-18,B,5,2.5,2.0,1,0
277954,2024-03-19,2024-03-19,B,1,3.0,1.0,1,0
277955,2024-03-25,2024-03-25,B,1,3.0,1.0,1,0
277957,2024-03-23,2024-03-23,A,4,3.0,2.0,1,0
277958,2024-03-17,2024-03-17,C,4,3.0,1.0,1,0
277959,2024-03-28,2024-04-09,A,25,0.9090909090909091,3.1818181818181817,4,12
277960,2024-03-05,2024-03-05,A,5,1.6666666666666667,1.3333333333333333,1,0
277961,2024-04-20,2024-04-20,B,2,0.5,3.5,1,0
277962,2024-03-31,2024-04-21,C,77,1.0606060606060606,2.409090909090909,19,21
277963,2024-04-20,2024-04-20,C,1,3.0,1.0,1,0
277964,2024-04-05,2024-04-24,A,8,1.875,2.625,4,19
277965,2024-04-18,2024-04-25,B,6,2.4,1.4,4,7
277966,2024-03-15,2024-03-15,B,5,2.25,1.75,1,0
277967,2024-03-13,2024-03-19,B,99,1.3387096774193548,2.403225806451613,7,6
277969,2024-03-05,2024-03-10,C,59,0.9722222222222222,2.388888888888889,5,5
277970,2024-04-13,2024-04-13,B,2,3.0,1.0,1,0
277972,2024-04-13,2024-04-13,A,14,1.2,2.5,1,0
277973,2024-04-24,2024-04-24,C,1,3.0,1.0,1,0
277974,2024-04-11,2024-04-11,C,2,3.0,2.0,1,0
277976,2024-03-04,2024-04-02,A,37,0.4,2.5,9,29
277978,2024-03-04,2024-03-06,C,9,1.4285714285714286,3.0,3,2
277980,2024-03-04,2024-03-05,B,4,3.0,1.3333333333333333,2,1
277981,2024-03-05,2024-03-05,A,2,3.0,0.5,1,0
277984,2024-03-26,2024-03-26,B,1,3.0,1.0,1,0
277986,2024-04-12,2024-04-12,C,2,3.0,1.0,1,0
277987,2024-03-15,2024-04-01,B,4,3.0,1.6666666666666667,3,17
277988,2024-04-23,2024-04-23,C,3,3.0,2.3333333333333335,1,0
277989,2024-04-13,2024-04-17,A,16,1.0714285714285714,2.5,3,4
277990,2024-04-24,2024-04-24,B,5,2.5,2.5,1,0
277991,2024-04-23,2024-05-01,B,540,1.2333333333333334,2.4833333333333334,9,8
277993,2024-03-28,2024-03-28,C,5,2.25,3.0,1,0
277994,2024-04-12,2024-04-12,B,6,2.4,1.8,1,0
277995,2024-03-16,2024-03-16,B,1,3.0,1.0,1,0
277996,2024-03-20,2024-04-07,A,7,1.8571428571428572,2.142857142857143,4,18
277999,2024-03-05,2024-03-05,C,1,0.0,1.0,1,0
278000,2024-04-24,2024-04-24,B,3,3.0,1.0,1,0
278004,2024-04-20,2024-04-20,B,6,1.3333333333333333,2.6666666666666665,1,0
278005,2024-03-11,2024-03-30,A,10,1.8333333333333333,3.1666666666666665,4,19
278006,2024-04-07,2024-04-07,A,6,2.0,2.5,1,0
278007,2024-03-21,2024-03-21,A,2,3.0,1.0,1,0
278008,2024-04-21,2024-04-21,A,5,1.4,1.6,1,0
278009,2024-03-01,2024-03-01,C,2,3.0,1.5,1,0
278010,2024-04-09,2024-04-09,C,5,2.6666666666666665,1.3333333333333333,1,0
