user_id,total_purchase_value_inApp,total_purchases_inApp,first_purchase_date_inApp,last_purchase_date_inApp,number_of_purchase_days_inApp,preferred_product_inApp,average_purchase_value_inApp
275348,39.97,3,2024-03-03,2024-03-13,3,Remove Ads,13.32
275368,4.99,1,2024-03-12,2024-03-12,1,Promotion,4.99
275371,4.99,1,2024-04-19,2024-04-19,1,Gold,4.99
275379,64.87,13,2024-03-01,2024-04-30,13,Remove Ads,4.99
275510,4.99,1,2024-04-18,2024-04-18,1,Promotion,4.99
275607,14.97,3,2024-03-09,2024-03-23,2,Gold,4.99
275614,79.84,16,2024-04-04,2024-04-30,9,Gold,4.99
275670,4.99,1,2024-03-26,2024-03-26,1,Promotion,4.99
275687,19.98,2,2024-03-24,2024-03-24,1,Gold,9.99
275719,9.98,2,2024-04-02,2024-04-07,2,Promotion,4.99
275721,9.98,2,2024-03-15,2024-03-16,2,Promotion,4.99
275753,109.82000000000001,18,2024-03-11,2024-04-10,12,Promotion,6.1
275770,4.99,1,2024-03-22,2024-03-22,1,Gold,4.99
275773,94.81,19,2024-03-07,2024-03-21,8,Gold,4.99
275806,4.99,1,2024-03-30,2024-03-30,1,Promotion,4.99
275815,9.99,1,2024-03-14,2024-03-14,1,Gold,9.99
275848,4.99,1,2024-04-14,2024-04-14,1,Gold,4.99
275927,114.77000000000001,23,2024-03-12,2024-04-27,18,Gold,4.99
275933,4.99,1,2024-03-02,2024-03-02,1,Promotion,4.99
275966,4.99,1,2024-04-09,2024-04-09,1,Promotion,4.99
275976,29.950000000000003,5,2024-03-11,2024-03-17,2,Promotion,5.99
275994,9.98,2,2024-03-05,2024-03-05,1,Gold,4.99
276006,4.99,1,2024-04-21,2024-04-21,1,Remove Ads,4.99
276042,9.98,2,2024-03-09,2024-03-28,2,Promotion,4.99
276048,4.99,1,2024-04-02,2024-04-02,1,Gold,4.99
276059,4.99,1,2024-03-27,2024-03-27,1,Promotion,4.99
276076,14.97,3,2024-04-24,2024-04-25,2,Promotion,4.99
276212,4.99,1,2024-04-24,2024-04-24,1,Remove Ads,4.99
276227,9.98,2,2024-03-26,2024-03-26,1,Gold,4.99
276232,14.97,3,2024-03-14,2024-03-14,1,Gold,4.99
276273,4.99,1,2024-03-12,2024-03-12,1,Gold,4.99
276283,4.99,1,2024-03-21,2024-03-21,1,Gold,4.99
276285,9.98,2,2024-03-04,2024-03-04,1,Promotion,4.99
276293,199.63,37,2024-03-23,2024-04-30,11,Gold,5.4
276409,39.93,7,2024-04-21,2024-04-30,5,Gold,5.7
