user_id,acquisition_date,last_active_date,platform_used,total_active_days,total_activity_days
272255,2024-03-01,2024-05-01,android,53,62
272256,2024-04-11,2024-04-24,android,13,14
272257,2024-03-04,2024-03-13,android,9,10
272259,2024-03-18,2024-04-03,android,13,17
272260,2024-04-03,2024-05-01,ios,21,29
272261,2024-03-02,2024-04-29,ios,9,59
272262,2024-03-01,2024-03-05,android,5,5
272263,2024-03-30,2024-05-01,android,21,33
272264,2024-03-08,2024-03-18,android,9,11
272265,2024-03-25,2024-03-29,android,5,5
272266,2024-03-06,2024-03-06,ios,1,1
272267,2024-04-02,2024-04-24,android,16,23
272269,2024-03-26,2024-04-04,android,7,10
272270,2024-04-15,2024-04-26,android,9,12
272271,2024-04-14,2024-04-30,android,7,17
272272,2024-03-01,2024-04-05,android,23,36
272274,2024-04-10,2024-05-01,android,22,22
272275,2024-03-03,2024-05-01,android,30,60
272276,2024-03-12,2024-04-22,android,24,42
272277,2024-03-12,2024-05-01,android,51,51
272278,2024-03-01,2024-04-03,android,22,34
272280,2024-03-07,2024-03-25,android,10,19
272281,2024-03-16,2024-03-29,android,13,14
272282,2024-03-02,2024-03-18,android,7,17
272283,2024-04-03,2024-04-29,android,20,27
272284,2024-04-02,2024-05-01,android,18,30
272285,2024-03-20,2024-04-25,ios,18,37
272286,2024-04-20,2024-05-01,android,12,12
272287,2024-03-02,2024-04-30,android,47,60
272289,2024-04-21,2024-04-29,android,4,9
272290,2024-03-24,2024-04-29,android,17,37
272291,2024-03-23,2024-04-10,android,7,19
272292,2024-04-15,2024-04-18,android,4,4
272293,2024-03-06,2024-04-27,android,16,53
272295,2024-04-16,2024-04-22,android,7,7
272296,2024-03-01,2024-03-11,android,11,11
272297,2024-03-14,2024-03-28,ios,8,15
272299,2024-03-01,2024-04-30,android,11,61
272302,2024-04-02,2024-04-11,android,5,10
272304,2024-03-02,2024-05-01,android,55,61
272305,2024-04-16,2024-04-20,android,5,5
272306,2024-04-05,2024-04-20,android,16,16
272308,2024-03-04,2024-05-01,android,19,59
272309,2024-03-01,2024-04-26,ios,45,57
272310,2024-03-01,2024-04-27,android,29,58
272312,2024-04-20,2024-04-28,android,9,9
272313,2024-03-24,2024-04-21,android,17,29
272314,2024-03-01,2024-05-01,android,59,62
272315,2024-03-06,2024-04-12,android,7,38
272317,2024-03-28,2024-04-14,android,16,18
272318,2024-03-24,2024-04-03,android,9,11
272319,2024-03-01,2024-04-18,ios,13,49
272322,2024-03-07,2024-05-01,android,33,56
272323,2024-03-02,2024-05-01,android,48,61
272324,2024-04-04,2024-04-25,ios,9,22
272326,2024-03-02,2024-03-18,android,13,17
272327,2024-03-22,2024-04-23,android,23,33
272328,2024-03-03,2024-03-20,android,16,18
272329,2024-03-01,2024-05-01,android,43,62
272330,2024-04-15,2024-04-27,android,13,13
272331,2024-03-29,2024-04-09,android,12,12
272333,2024-04-09,2024-04-25,ios,4,17
272335,2024-03-01,2024-04-21,android,25,52
272336,2024-03-12,2024-03-12,android,1,1
272337,2024-03-01,2024-04-29,ios,9,60
272338,2024-04-04,2024-04-25,android,15,22
272339,2024-03-01,2024-04-26,android,30,57
272340,2024-04-02,2024-04-30,android,15,29
272341,2024-03-01,2024-05-01,android,61,62
272342,2024-04-15,2024-05-01,android,11,17
272344,2024-03-01,2024-04-06,android,18,37
272345,2024-03-01,2024-03-06,android,3,6
272346,2024-03-01,2024-04-29,android,49,60
272347,2024-03-06,2024-05-01,android,56,57
272349,2024-03-17,2024-05-01,android,36,46
272352,2024-04-08,2024-05-01,android,17,24
272353,2024-03-01,2024-05-01,android,62,62
272354,2024-03-17,2024-03-27,android,2,11
272357,2024-04-16,2024-05-01,android,16,16
272359,2024-03-31,2024-05-01,android,32,32
272360,2024-04-12,2024-05-01,android,18,20
272362,2024-03-03,2024-05-01,android,23,60
272363,2024-03-01,2024-04-30,android,38,61
272364,2024-03-01,2024-05-01,android,50,62
272365,2024-03-15,2024-04-25,android,11,42
272366,2024-04-04,2024-04-20,android,10,17
272367,2024-03-02,2024-04-30,ios,23,60
272368,2024-03-02,2024-05-01,android,34,61
272369,2024-03-01,2024-03-23,android,14,23
272370,2024-03-04,2024-04-07,android,34,35
272371,2024-04-05,2024-04-27,android,13,23
272372,2024-03-26,2024-04-04,android,3,10
272373,2024-03-22,2024-04-19,android,11,29
272374,2024-03-02,2024-03-10,android,7,9
272375,2024-04-07,2024-04-24,android,7,18
272377,2024-03-24,2024-04-22,android,21,30
272378,2024-03-02,2024-04-30,android,2,60
272379,2024-03-28,2024-05-01,ios,35,35
272380,2024-03-22,2024-03-28,android,6,7
272382,2024-03-03,2024-05-01,ios,49,60
272383,2024-04-17,2024-05-01,android,13,15
272384,2024-04-04,2024-04-11,android,4,8
272385,2024-03-27,2024-05-01,android,29,36
272386,2024-03-26,2024-04-12,android,8,18
272387,2024-04-01,2024-04-20,android,18,20
272389,2024-04-15,2024-04-21,android,3,7
272391,2024-04-13,2024-04-30,android,16,18
